date,product_id,transaction_type,quantity,ending_inventory,order_id,unit_cost,transaction_value
2023-04-02,ELE-001,consumption,-529.0,14481.0,,180.0,95220.0
2023-04-02,ELE-002,consumption,-566.0,11788.0,,480.0,271680.0
2023-04-02,ELE-003,consumption,-595.0,18977.0,,30.0,17850.0
2023-04-02,FOO-001,consumption,-543.0,10704.0,,3.0,1629.0
2023-04-02,FOO-002,consumption,-389.0,11854.0,,1.2,466.79999999999995
2023-04-02,FOO-003,consumption,-444.0,11482.0,,4.8,2131.2
2023-04-02,HOM-001,consumption,-489.0,14132.0,,12.0,5868.0
2023-04-02,HOM-002,consumption,-569.0,13920.0,,18.0,10242.0
2023-04-02,HOM-003,consumption,-521.0,13918.0,,60.0,31260.0
2023-04-02,HOM-003,order,12653.0,13918.0,ORD-HOM-003-20230402,60.0,759180.0
2023-04-02,TOY-001,consumption,-479.0,13625.0,,9.0,4311.0
2023-04-02,TOY-002,consumption,-511.0,12866.0,,6.0,3066.0
2023-04-02,TOY-003,consumption,-551.0,15673.0,,12.0,6612.0
2023-04-03,CLO-001,consumption,-490.0,19135.0,,6.0,2940.0
2023-04-03,CLO-002,consumption,-382.0,10458.0,,18.0,6876.0
2023-04-03,CLO-003,consumption,-376.0,11361.0,,30.0,11280.0
2023-04-03,ELE-001,consumption,-473.0,14008.0,,180.0,85140.0
2023-04-03,ELE-002,consumption,-433.0,11355.0,,480.0,207840.0
2023-04-03,ELE-003,consumption,-464.0,18513.0,,30.0,13920.0
2023-04-03,FOO-001,consumption,-465.0,10239.0,,3.0,1395.0
2023-04-03,FOO-002,consumption,-324.0,11530.0,,1.2,388.8
2023-04-03,FOO-003,consumption,-358.0,11124.0,,4.8,1718.3999999999999
2023-04-03,HOM-001,consumption,-439.0,13693.0,,12.0,5268.0
2023-04-03,HOM-002,consumption,-509.0,13411.0,,18.0,9162.0
2023-04-03,HOM-003,consumption,-414.0,13504.0,,60.0,24840.0
2023-04-03,TOY-001,consumption,-397.0,13228.0,,9.0,3573.0
2023-04-03,TOY-002,consumption,-430.0,12436.0,,6.0,2580.0
2023-04-03,TOY-003,consumption,-470.0,15203.0,,12.0,5640.0
2023-04-04,CLO-001,consumption,-487.0,18648.0,,6.0,2922.0
2023-04-04,CLO-002,consumption,-391.0,10067.0,,18.0,7038.0
2023-04-04,CLO-003,consumption,-386.0,10975.0,,30.0,11580.0
2023-04-04,ELE-001,consumption,-467.0,13541.0,,180.0,84060.0
2023-04-04,ELE-002,consumption,-442.0,10913.0,,480.0,212160.0
2023-04-04,ELE-003,consumption,-479.0,18034.0,,30.0,14370.0
2023-04-04,FOO-001,consumption,-457.0,9782.0,,3.0,1371.0
2023-04-04,FOO-002,consumption,-314.0,11216.0,,1.2,376.8
2023-04-04,FOO-003,consumption,-350.0,10774.0,,4.8,1680.0
2023-04-04,HOM-001,consumption,-420.0,13273.0,,12.0,5040.0
2023-04-04,HOM-002,consumption,-506.0,12905.0,,18.0,9108.0
2023-04-04,HOM-003,consumption,-451.0,13053.0,,60.0,27060.0
2023-04-04,TOY-001,consumption,-394.0,12834.0,,9.0,3546.0
2023-04-04,TOY-002,consumption,-423.0,12013.0,,6.0,2538.0
2023-04-04,TOY-003,consumption,-486.0,14717.0,,12.0,5832.0
2023-04-05,CLO-001,consumption,-443.0,18205.0,,6.0,2658.0
2023-04-05,CLO-002,consumption,-369.0,9698.0,,18.0,6642.0
2023-04-05,CLO-003,consumption,-378.0,10597.0,,30.0,11340.0
2023-04-05,ELE-001,consumption,-446.0,13095.0,,180.0,80280.0
2023-04-05,ELE-002,consumption,-471.0,10442.0,,480.0,226080.0
2023-04-05,ELE-003,consumption,-490.0,17544.0,,30.0,14700.0
2023-04-05,FOO-001,consumption,-469.0,9313.0,,3.0,1407.0
2023-04-05,FOO-002,consumption,-336.0,10880.0,,1.2,403.2
2023-04-05,FOO-003,consumption,-337.0,10437.0,,4.8,1617.6
2023-04-05,HOM-001,consumption,-414.0,12859.0,,12.0,4968.0
2023-04-05,HOM-002,consumption,-490.0,12415.0,,18.0,8820.0
2023-04-05,HOM-003,consumption,-429.0,12624.0,,60.0,25740.0
2023-04-05,TOY-001,consumption,-419.0,12415.0,,9.0,3771.0
2023-04-05,TOY-002,consumption,-416.0,11597.0,,6.0,2496.0
2023-04-05,TOY-003,consumption,-481.0,14236.0,,12.0,5772.0
2023-04-06,CLO-001,consumption,-492.0,17713.0,,6.0,2952.0
2023-04-06,CLO-002,consumption,-383.0,9315.0,,18.0,6894.0
2023-04-06,CLO-003,consumption,-367.0,10230.0,,30.0,11010.0
2023-04-06,ELE-001,consumption,-441.0,12654.0,,180.0,79380.0
2023-04-06,ELE-002,consumption,-447.0,9995.0,,480.0,214560.0
2023-04-06,ELE-003,consumption,-486.0,17058.0,,30.0,14580.0
2023-04-06,FOO-001,consumption,-478.0,8835.0,,3.0,1434.0
2023-04-06,FOO-002,consumption,-324.0,10556.0,,1.2,388.8
2023-04-06,FOO-003,consumption,-336.0,10101.0,,4.8,1612.8
2023-04-06,HOM-001,consumption,-418.0,12441.0,,12.0,5016.0
2023-04-06,HOM-002,consumption,-495.0,11920.0,,18.0,8910.0
2023-04-06,HOM-003,consumption,-413.0,12211.0,,60.0,24780.0
2023-04-06,TOY-001,consumption,-406.0,12009.0,,9.0,3654.0
2023-04-06,TOY-002,consumption,-414.0,11183.0,,6.0,2484.0
2023-04-06,TOY-003,consumption,-454.0,13782.0,,12.0,5448.0
2023-04-07,CLO-001,consumption,-450.0,17263.0,,6.0,2700.0
2023-04-07,CLO-002,consumption,-367.0,8948.0,,18.0,6606.0
2023-04-07,CLO-003,consumption,-378.0,9852.0,,30.0,11340.0
2023-04-07,ELE-001,consumption,-461.0,12193.0,,180.0,82980.0
2023-04-07,ELE-002,consumption,-466.0,9529.0,,480.0,223680.0
2023-04-07,ELE-003,consumption,-484.0,16574.0,,30.0,14520.0
2023-04-07,FOO-001,consumption,-430.0,8405.0,,3.0,1290.0
2023-04-07,FOO-002,consumption,-339.0,10217.0,,1.2,406.8
2023-04-07,FOO-003,consumption,-328.0,9773.0,,4.8,1574.3999999999999
2023-04-07,HOM-001,consumption,-437.0,12004.0,,12.0,5244.0
2023-04-07,HOM-002,consumption,-503.0,11417.0,,18.0,9054.0
2023-04-07,HOM-003,consumption,-436.0,11775.0,,60.0,26160.0
2023-04-07,TOY-001,consumption,-389.0,11620.0,,9.0,3501.0
2023-04-07,TOY-002,consumption,-443.0,10740.0,,6.0,2658.0
2023-04-07,TOY-003,consumption,-455.0,13327.0,,12.0,5460.0
2023-04-08,CLO-001,consumption,-544.0,16719.0,,6.0,3264.0
2023-04-08,CLO-002,consumption,-444.0,8504.0,,18.0,7992.0
2023-04-08,CLO-002,order,11032.0,8504.0,ORD-CLO-002-20230408,18.0,198576.0
2023-04-08,CLO-003,consumption,-451.0,9401.0,,30.0,13530.0
2023-04-08,ELE-001,consumption,-542.0,11651.0,,180.0,97560.0
2023-04-08,ELE-002,consumption,-560.0,8969.0,,480.0,268800.0
2023-04-08,ELE-003,consumption,-551.0,16023.0,,30.0,16530.0
2023-04-08,FOO-001,consumption,-563.0,7842.0,,3.0,1689.0
2023-04-08,FOO-001,order,12989.0,7842.0,ORD-FOO-001-20230408,3.0,38967.0
2023-04-08,FOO-002,consumption,-388.0,9829.0,,1.2,465.59999999999997
2023-04-08,FOO-003,consumption,-437.0,9336.0,,4.8,2097.6
2023-04-08,HOM-001,consumption,-541.0,11463.0,,12.0,6492.0
2023-04-08,HOM-002,consumption,-575.0,10842.0,,18.0,10350.0
2023-04-08,HOM-002,order,14458.0,10842.0,ORD-HOM-002-20230408,18.0,260244.0
2023-04-08,HOM-003,consumption,-513.0,11262.0,,60.0,30780.0
2023-04-08,TOY-001,consumption,-471.0,11149.0,,9.0,4239.0
2023-04-08,TOY-002,consumption,-540.0,10200.0,,6.0,3240.0
2023-04-08,TOY-002,order,13560.0,10200.0,ORD-TOY-002-20230408,6.0,81360.0
2023-04-08,TOY-003,consumption,-539.0,12788.0,,12.0,6468.0
2023-04-08,TOY-003,order,14701.0,12788.0,ORD-TOY-003-20230408,12.0,176412.0
2023-04-09,CLO-001,consumption,-577.0,16142.0,,6.0,3462.0
2023-04-09,CLO-002,consumption,-463.0,8041.0,,18.0,8334.0
2023-04-09,CLO-003,consumption,-423.0,8978.0,,30.0,12690.0
2023-04-09,ELE-001,consumption,-533.0,11118.0,,180.0,95940.0
2023-04-09,ELE-001,order,12334.0,11118.0,ORD-ELE-001-20230409,180.0,2220120.0
2023-04-09,ELE-002,consumption,-538.0,8431.0,,480.0,258240.0
2023-04-09,ELE-003,consumption,-540.0,15483.0,,30.0,16200.0
2023-04-09,FOO-001,consumption,-575.0,7267.0,,3.0,1725.0
2023-04-09,FOO-002,consumption,-405.0,9424.0,,1.2,486.0
2023-04-09,FOO-003,consumption,-432.0,8904.0,,4.8,2073.6
2023-04-09,HOM-001,consumption,-495.0,10968.0,,12.0,5940.0
2023-04-09,HOM-002,consumption,-591.0,10251.0,,18.0,10638.0
2023-04-09,HOM-003,consumption,-533.0,10729.0,,60.0,31980.0
2023-04-09,TOY-001,consumption,-468.0,10681.0,,9.0,4212.0
2023-04-09,TOY-002,consumption,-542.0,9658.0,,6.0,3252.0
2023-04-09,TOY-003,consumption,-571.0,12217.0,,12.0,6852.0
2023-04-10,CLO-001,consumption,-458.0,15684.0,,6.0,2748.0
2023-04-10,CLO-002,consumption,-379.0,7662.0,,18.0,6822.0
2023-04-10,CLO-003,consumption,-367.0,8611.0,,30.0,11010.0
2023-04-10,ELE-001,consumption,-466.0,10652.0,,180.0,83880.0
2023-04-10,ELE-002,consumption,-451.0,7980.0,,480.0,216480.0
2023-04-10,ELE-003,consumption,-463.0,15020.0,,30.0,13890.0
2023-04-10,FOO-001,consumption,-462.0,6805.0,,3.0,1386.0
2023-04-10,FOO-002,consumption,-335.0,9089.0,,1.2,402.0
2023-04-10,FOO-003,consumption,-344.0,8560.0,,4.8,1651.2
2023-04-10,HOM-001,consumption,-448.0,10520.0,,12.0,5376.0
2023-04-10,HOM-002,consumption,-500.0,9751.0,,18.0,9000.0
2023-04-10,HOM-003,consumption,-461.0,10268.0,,60.0,27660.0
2023-04-10,TOY-001,consumption,-406.0,10275.0,,9.0,3654.0
2023-04-10,TOY-002,consumption,-406.0,9252.0,,6.0,2436.0
2023-04-10,TOY-003,consumption,-475.0,11742.0,,12.0,5700.0
2023-04-11,CLO-001,consumption,-449.0,15235.0,,6.0,2694.0
2023-04-11,CLO-002,consumption,-376.0,7286.0,,18.0,6768.0
2023-04-11,CLO-003,consumption,-379.0,8232.0,,30.0,11370.0
2023-04-11,ELE-001,consumption,-441.0,10211.0,,180.0,79380.0
2023-04-11,ELE-002,consumption,-452.0,7528.0,,480.0,216960.0
2023-04-11,ELE-003,consumption,-478.0,14542.0,,30.0,14340.0
2023-04-11,FOO-001,consumption,-448.0,6357.0,,3.0,1344.0
2023-04-11,FOO-002,consumption,-346.0,8743.0,,1.2,415.2
2023-04-11,FOO-003,consumption,-351.0,8209.0,,4.8,1684.8
2023-04-11,HOM-001,consumption,-425.0,10095.0,,12.0,5100.0
2023-04-11,HOM-002,consumption,-494.0,9257.0,,18.0,8892.0
2023-04-11,HOM-003,consumption,-435.0,9833.0,,60.0,26100.0
2023-04-11,TOY-001,consumption,-415.0,9860.0,,9.0,3735.0
2023-04-11,TOY-002,consumption,-423.0,8829.0,,6.0,2538.0
2023-04-11,TOY-003,consumption,-452.0,11290.0,,12.0,5424.0
2023-04-12,CLO-001,consumption,-461.0,14774.0,,6.0,2766.0
2023-04-12,CLO-002,consumption,-393.0,6893.0,,18.0,7074.0
2023-04-12,CLO-003,consumption,-387.0,7845.0,,30.0,11610.0
2023-04-12,ELE-001,consumption,-435.0,9776.0,,180.0,78300.0
2023-04-12,ELE-002,consumption,-448.0,7080.0,,480.0,215040.0
2023-04-12,ELE-003,consumption,-446.0,14096.0,,30.0,13380.0
2023-04-12,FOO-001,consumption,-438.0,5919.0,,3.0,1314.0
2023-04-12,FOO-002,consumption,-340.0,8403.0,,1.2,408.0
2023-04-12,FOO-003,consumption,-345.0,7864.0,,4.8,1656.0
2023-04-12,HOM-001,consumption,-414.0,9681.0,,12.0,4968.0
2023-04-12,HOM-002,consumption,-487.0,8770.0,,18.0,8766.0
2023-04-12,HOM-003,consumption,-433.0,9400.0,,60.0,25980.0
2023-04-12,TOY-001,consumption,-401.0,9459.0,,9.0,3609.0
2023-04-12,TOY-002,consumption,-454.0,8375.0,,6.0,2724.0
2023-04-12,TOY-003,consumption,-451.0,10839.0,,12.0,5412.0
2023-04-13,CLO-001,consumption,-466.0,14308.0,,6.0,2796.0
2023-04-13,CLO-002,consumption,-383.0,6510.0,,18.0,6894.0
2023-04-13,CLO-003,consumption,-366.0,7479.0,,30.0,10980.0
2023-04-13,ELE-001,consumption,-432.0,9344.0,,180.0,77760.0
2023-04-13,ELE-002,consumption,-444.0,6636.0,,480.0,213120.0
2023-04-13,ELE-003,consumption,-487.0,13609.0,,30.0,14610.0
2023-04-13,FOO-001,consumption,-474.0,5445.0,,3.0,1422.0
2023-04-13,FOO-002,consumption,-345.0,8058.0,,1.2,414.0
2023-04-13,FOO-003,consumption,-364.0,7500.0,,4.8,1747.2
2023-04-13,HOM-001,consumption,-446.0,9235.0,,12.0,5352.0
2023-04-13,HOM-002,consumption,-495.0,8275.0,,18.0,8910.0
2023-04-13,HOM-003,consumption,-448.0,8952.0,,60.0,26880.0
2023-04-13,TOY-001,consumption,-383.0,9076.0,,9.0,3447.0
2023-04-13,TOY-002,consumption,-440.0,7935.0,,6.0,2640.0
2023-04-13,TOY-003,consumption,-457.0,10382.0,,12.0,5484.0
2023-04-14,CLO-001,consumption,-492.0,13816.0,,6.0,2952.0
2023-04-14,CLO-002,consumption,-377.0,6133.0,,18.0,6786.0
2023-04-14,CLO-003,consumption,-379.0,7100.0,,30.0,11370.0
2023-04-14,ELE-001,consumption,-448.0,8896.0,,180.0,80640.0
2023-04-14,ELE-002,consumption,-471.0,6165.0,,480.0,226080.0
2023-04-14,ELE-003,consumption,-491.0,13118.0,,30.0,14730.0
2023-04-14,FOO-001,consumption,-456.0,4989.0,,3.0,1368.0
2023-04-14,FOO-002,consumption,-339.0,7719.0,,1.2,406.8
2023-04-14,FOO-003,consumption,-349.0,7151.0,,4.8,1675.2
2023-04-14,HOM-001,consumption,-435.0,8800.0,,12.0,5220.0
2023-04-14,HOM-002,consumption,-489.0,7786.0,,18.0,8802.0
2023-04-14,HOM-003,consumption,-444.0,8508.0,,60.0,26640.0
2023-04-14,TOY-001,consumption,-381.0,8695.0,,9.0,3429.0
2023-04-14,TOY-002,consumption,-438.0,7497.0,,6.0,2628.0
2023-04-14,TOY-003,consumption,-473.0,9909.0,,12.0,5676.0
2023-04-15,FOO-001,receiving,12989.0,17978.0,ORD-FOO-001-20230408,3.0,38967.0
2023-04-15,CLO-001,consumption,-569.0,13247.0,,6.0,3414.0
2023-04-15,CLO-002,consumption,-445.0,5688.0,,18.0,8010.0
2023-04-15,CLO-003,consumption,-432.0,6668.0,,30.0,12960.0
2023-04-15,ELE-001,consumption,-530.0,8366.0,,180.0,95400.0
2023-04-15,ELE-002,consumption,-527.0,5638.0,,480.0,252960.0
2023-04-15,ELE-003,consumption,-539.0,12579.0,,30.0,16170.0
2023-04-15,FOO-001,consumption,-534.0,17444.0,,3.0,1602.0
2023-04-15,FOO-002,consumption,-394.0,7325.0,,1.2,472.79999999999995
2023-04-15,FOO-002,order,10011.0,7325.0,ORD-FOO-002-20230415,1.2,12013.199999999999
2023-04-15,FOO-003,consumption,-410.0,6741.0,,4.8,1968.0
2023-04-15,HOM-001,consumption,-517.0,8283.0,,12.0,6204.0
2023-04-15,HOM-002,consumption,-616.0,7170.0,,18.0,11088.0
2023-04-15,HOM-003,consumption,-510.0,7998.0,,60.0,30600.0
2023-04-15,TOY-001,consumption,-479.0,8216.0,,9.0,4311.0
2023-04-15,TOY-002,consumption,-539.0,6958.0,,6.0,3234.0
2023-04-15,TOY-003,consumption,-565.0,9344.0,,12.0,6780.0
2023-04-16,CLO-001,consumption,-545.0,12702.0,,6.0,3270.0
2023-04-16,CLO-002,consumption,-469.0,5219.0,,18.0,8442.0
2023-04-16,CLO-003,consumption,-456.0,6212.0,,30.0,13680.0
2023-04-16,ELE-001,consumption,-548.0,7818.0,,180.0,98640.0
2023-04-16,ELE-002,consumption,-539.0,5099.0,,480.0,258720.0
2023-04-16,ELE-003,consumption,-566.0,12013.0,,30.0,16980.0
2023-04-16,FOO-001,consumption,-551.0,16893.0,,3.0,1653.0
2023-04-16,FOO-002,consumption,-414.0,6911.0,,1.2,496.79999999999995
2023-04-16,FOO-003,consumption,-421.0,6320.0,,4.8,2020.8
2023-04-16,HOM-001,consumption,-492.0,7791.0,,12.0,5904.0
2023-04-16,HOM-002,consumption,-562.0,6608.0,,18.0,10116.0
2023-04-16,HOM-003,consumption,-513.0,7485.0,,60.0,30780.0
2023-04-16,TOY-001,consumption,-497.0,7719.0,,9.0,4473.0
2023-04-16,TOY-002,consumption,-520.0,6438.0,,6.0,3120.0
2023-04-16,TOY-003,consumption,-572.0,8772.0,,12.0,6864.0
2023-04-17,CLO-001,consumption,-484.0,12218.0,,6.0,2904.0
2023-04-17,CLO-002,consumption,-401.0,4818.0,,18.0,7218.0
2023-04-17,CLO-003,consumption,-377.0,5835.0,,30.0,11310.0
2023-04-17,ELE-001,consumption,-477.0,7341.0,,180.0,85860.0
2023-04-17,ELE-002,consumption,-470.0,4629.0,,480.0,225600.0
2023-04-17,ELE-003,consumption,-478.0,11535.0,,30.0,14340.0
2023-04-17,FOO-001,consumption,-481.0,16412.0,,3.0,1443.0
2023-04-17,FOO-002,consumption,-335.0,6576.0,,1.2,402.0
2023-04-17,FOO-003,consumption,-346.0,5974.0,,4.8,1660.8
2023-04-17,HOM-001,consumption,-449.0,7342.0,,12.0,5388.0
2023-04-17,HOM-002,consumption,-488.0,6120.0,,18.0,8784.0
2023-04-17,HOM-003,consumption,-419.0,7066.0,,60.0,25140.0
2023-04-17,TOY-001,consumption,-390.0,7329.0,,9.0,3510.0
2023-04-17,TOY-002,consumption,-448.0,5990.0,,6.0,2688.0
2023-04-17,TOY-003,consumption,-433.0,8339.0,,12.0,5196.0
2023-04-18,CLO-001,consumption,-458.0,11760.0,,6.0,2748.0
2023-04-18,CLO-002,consumption,-369.0,4449.0,,18.0,6642.0
2023-04-18,CLO-003,consumption,-364.0,5471.0,,30.0,10920.0
2023-04-18,ELE-001,consumption,-460.0,6881.0,,180.0,82800.0
2023-04-18,ELE-002,consumption,-449.0,4180.0,,480.0,215520.0
2023-04-18,ELE-003,consumption,-475.0,11060.0,,30.0,14250.0
2023-04-18,FOO-001,consumption,-444.0,15968.0,,3.0,1332.0
2023-04-18,FOO-002,consumption,-348.0,6228.0,,1.2,417.59999999999997
2023-04-18,FOO-003,consumption,-342.0,5632.0,,4.8,1641.6
2023-04-18,HOM-001,consumption,-428.0,6914.0,,12.0,5136.0
2023-04-18,HOM-002,consumption,-516.0,5604.0,,18.0,9288.0
2023-04-18,HOM-003,consumption,-419.0,6647.0,,60.0,25140.0
2023-04-18,TOY-001,consumption,-382.0,6947.0,,9.0,3438.0
2023-04-18,TOY-002,consumption,-441.0,5549.0,,6.0,2646.0
2023-04-18,TOY-003,consumption,-455.0,7884.0,,12.0,5460.0
2023-04-19,CLO-001,consumption,-464.0,11296.0,,6.0,2784.0
2023-04-19,CLO-002,consumption,-375.0,4074.0,,18.0,6750.0
2023-04-19,CLO-003,consumption,-384.0,5087.0,,30.0,11520.0
2023-04-19,ELE-001,consumption,-469.0,6412.0,,180.0,84420.0
2023-04-19,ELE-002,consumption,-453.0,3727.0,,480.0,217440.0
2023-04-19,ELE-003,consumption,-463.0,10597.0,,30.0,13890.0
2023-04-19,FOO-001,consumption,-471.0,15497.0,,3.0,1413.0
2023-04-19,FOO-002,consumption,-329.0,5899.0,,1.2,394.8
2023-04-19,FOO-003,consumption,-333.0,5299.0,,4.8,1598.3999999999999
2023-04-19,HOM-001,consumption,-430.0,6484.0,,12.0,5160.0
2023-04-19,HOM-002,consumption,-491.0,5113.0,,18.0,8838.0
2023-04-19,HOM-003,consumption,-416.0,6231.0,,60.0,24960.0
2023-04-19,TOY-001,consumption,-402.0,6545.0,,9.0,3618.0
2023-04-19,TOY-002,consumption,-443.0,5106.0,,6.0,2658.0
2023-04-19,TOY-003,consumption,-454.0,7430.0,,12.0,5448.0
2023-04-20,CLO-001,consumption,-464.0,10832.0,,6.0,2784.0
2023-04-20,CLO-002,consumption,-379.0,3695.0,,18.0,6822.0
2023-04-20,CLO-003,consumption,-376.0,4711.0,,30.0,11280.0
2023-04-20,ELE-001,consumption,-450.0,5962.0,,180.0,81000.0
2023-04-20,ELE-002,consumption,-439.0,3288.0,,480.0,210720.0
2023-04-20,ELE-003,consumption,-480.0,10117.0,,30.0,14400.0
2023-04-20,FOO-001,consumption,-457.0,15040.0,,3.0,1371.0
2023-04-20,FOO-002,consumption,-341.0,5558.0,,1.2,409.2
2023-04-20,FOO-003,consumption,-347.0,4952.0,,4.8,1665.6
2023-04-20,HOM-001,consumption,-428.0,6056.0,,12.0,5136.0
2023-04-20,HOM-002,consumption,-474.0,4639.0,,18.0,8532.0
2023-04-20,HOM-003,consumption,-439.0,5792.0,,60.0,26340.0
2023-04-20,TOY-001,consumption,-388.0,6157.0,,9.0,3492.0
2023-04-20,TOY-002,consumption,-424.0,4682.0,,6.0,2544.0
2023-04-20,TOY-003,consumption,-455.0,6975.0,,12.0,5460.0
2023-04-21,CLO-001,consumption,-494.0,10338.0,,6.0,2964.0
2023-04-21,CLO-002,consumption,-404.0,3291.0,,18.0,7272.0
2023-04-21,CLO-003,consumption,-379.0,4332.0,,30.0,11370.0
2023-04-21,ELE-001,consumption,-482.0,5480.0,,180.0,86760.0
2023-04-21,ELE-002,consumption,-461.0,2827.0,,480.0,221280.0
2023-04-21,ELE-003,consumption,-475.0,9642.0,,30.0,14250.0
2023-04-21,FOO-001,consumption,-460.0,14580.0,,3.0,1380.0
2023-04-21,FOO-002,consumption,-330.0,5228.0,,1.2,396.0
2023-04-21,FOO-003,consumption,-339.0,4613.0,,4.8,1627.2
2023-04-21,HOM-001,consumption,-399.0,5657.0,,12.0,4788.0
2023-04-21,HOM-002,consumption,-520.0,4119.0,,18.0,9360.0
2023-04-21,HOM-003,consumption,-435.0,5357.0,,60.0,26100.0
2023-04-21,TOY-001,consumption,-402.0,5755.0,,9.0,3618.0
2023-04-21,TOY-002,consumption,-422.0,4260.0,,6.0,2532.0
2023-04-21,TOY-003,consumption,-444.0,6531.0,,12.0,5328.0
2023-04-22,ELE-002,receiving,16257.0,19084.0,ORD-ELE-002-20230401,480.0,7803360.0
2023-04-22,FOO-003,receiving,10259.0,14872.0,ORD-FOO-003-20230401,4.8,49243.2
2023-04-22,CLO-002,receiving,11032.0,14323.0,ORD-CLO-002-20230408,18.0,198576.0
2023-04-22,HOM-002,receiving,14458.0,18577.0,ORD-HOM-002-20230408,18.0,260244.0
2023-04-22,TOY-002,receiving,13560.0,17820.0,ORD-TOY-002-20230408,6.0,81360.0
2023-04-22,CLO-001,consumption,-544.0,9794.0,,6.0,3264.0
2023-04-22,CLO-002,consumption,-471.0,13852.0,,18.0,8478.0
2023-04-22,CLO-003,consumption,-469.0,3863.0,,30.0,14070.0
2023-04-22,ELE-001,consumption,-543.0,4937.0,,180.0,97740.0
2023-04-22,ELE-002,consumption,-553.0,18531.0,,480.0,265440.0
2023-04-22,ELE-003,consumption,-601.0,9041.0,,30.0,18030.0
2023-04-22,FOO-001,consumption,-534.0,14046.0,,3.0,1602.0
2023-04-22,FOO-002,consumption,-395.0,4833.0,,1.2,474.0
2023-04-22,FOO-003,consumption,-414.0,14458.0,,4.8,1987.1999999999998
2023-04-22,HOM-001,consumption,-502.0,5155.0,,12.0,6024.0
2023-04-22,HOM-001,order,13419.0,5155.0,ORD-HOM-001-20230422,12.0,161028.0
2023-04-22,HOM-002,consumption,-615.0,17962.0,,18.0,11070.0
2023-04-22,HOM-003,consumption,-527.0,4830.0,,60.0,31620.0
2023-04-22,TOY-001,consumption,-452.0,5303.0,,9.0,4068.0
2023-04-22,TOY-001,order,11421.0,5303.0,ORD-TOY-001-20230422,9.0,102789.0
2023-04-22,TOY-002,consumption,-522.0,17298.0,,6.0,3132.0
2023-04-22,TOY-003,consumption,-563.0,5968.0,,12.0,6756.0
2023-04-23,CLO-003,receiving,11111.0,14974.0,ORD-CLO-003-20230402,30.0,333330.0
2023-04-23,HOM-003,receiving,12653.0,17483.0,ORD-HOM-003-20230402,60.0,759180.0
2023-04-23,ELE-001,receiving,12334.0,17271.0,ORD-ELE-001-20230409,180.0,2220120.0
2023-04-23,CLO-001,consumption,-552.0,9242.0,,6.0,3312.0
